Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,61280,49274,80.41
20,2,21STCENMGM,EQ,1708,1707,99.94
20,3,3IINFOTECH,EQ,882954,487552,55.22
20,4,3MINDIA,EQ,1068,851,79.68
20,5,3PLAND,EQ,50,50,100.00
20,6,5PAISA,EQ,1576,686,43.53
20,7,63MOONS,EQ,99874,41217,41.27
20,8,762GS2039,GS,100,100,100.00
20,9,A2ZINFRA,EQ,118634,80008,67.44
20,10,AARON,SM,3300,3300,100.00
20,11,AARTIDRUGS,EQ,6928,4554,65.73
20,12,AARTIIND,EQ,104469,65248,62.46
20,13,AARVEEDEN,EQ,2140,1861,86.96
20,14,AAVAS,EQ,61745,33070,53.56
20,15,ABB,EQ,46215,25196,54.52
20,16,ABBOTINDIA,EQ,7412,3553,47.94
20,17,ABCAPITAL,EQ,11668396,2337484,20.03
20,18,ABFRL,EQ,487658,260996,53.52
20,19,ABSLBANETF,EQ,76,66,86.84
20,20,ABSLRIF6RG,MF,3000,3000,100.00
20,21,ACC,EQ,1028570,215599,20.96
20,22,ACCELYA,EQ,25980,20078,77.28
20,23,ACCURACY,SM,6400,1600,25.00
20,24,ACE,EQ,62602,27077,43.25
20,25,ADANIENT,EQ,4051404,503006,12.42
20,26,ADANIGAS,EQ,312919,154074,49.24
20,27,ADANIGREEN,EQ,5101074,1265004,24.80
20,28,ADANIPORTS,EQ,1417796,262083,18.49
20,29,ADANIPOWER,EQ,4946721,643986,13.02
20,30,ADANITRANS,EQ,380742,193007,50.69
20,31,ADFFOODS,EQ,12177,6770,55.60
20,32,ADHUNIKIND,EQ,84755,61785,72.90
20,33,ADORWELD,EQ,3099,1074,34.66
20,34,ADSL,EQ,1003061,408471,40.72
20,35,ADVANIHOTR,EQ,14732,6028,40.92
20,36,ADVENZYMES,EQ,39913,27693,69.38
20,37,AEGISCHEM,EQ,88565,53218,60.09
20,38,AFFLE,EQ,129652,26160,20.18
20,39,AGARIND,EQ,4452,3739,83.98
20,40,AGRITECH,EQ,3177,2786,87.69
20,41,AGROPHOS,EQ,625793,238221,38.07
20,42,AHIMSA,SM,24000,24000,100.00
20,43,AHLEAST,EQ,1009,673,66.70
20,44,AHLUCONT,EQ,3582,1424,39.75
20,45,AHLWEST,EQ,478,173,36.19
20,46,AIAENG,EQ,6953,3974,57.16
20,47,AIONJSW,EQ,51737,44361,85.74
20,48,AIRAN,EQ,2344,1844,78.67
20,49,AIROLAM,SM,9000,0,0.00
20,50,AJANTPHARM,EQ,45697,16495,36.10
20,51,AJMERA,EQ,14677,7805,53.18
20,52,AKASH,EQ,2600,0,0.00
20,53,AKG,SM,20000,16000,80.00
20,54,AKSHARCHEM,EQ,38881,17305,44.51
20,55,AKSHOPTFBR,EQ,259895,180012,69.26
20,56,AKZOINDIA,EQ,15750,12112,76.90
20,57,ALANKIT,EQ,19359,16026,82.78
20,58,ALBERTDAVD,EQ,1744,1096,62.84
20,59,ALBK,EQ,1999756,788338,39.42
20,60,ALEMBICLTD,EQ,259631,118109,45.49
20,61,ALICON,EQ,1296,663,51.16
20,62,ALKALI,EQ,7972,6615,82.98
20,63,ALKEM,EQ,165045,124252,75.28
20,64,ALKYLAMINE,EQ,81057,36895,45.52
20,65,ALLCARGO,EQ,120191,83804,69.73
20,66,ALLSEC,EQ,4845,4515,93.19
20,67,ALMONDZ,EQ,125,125,100.00
20,68,ALOKTEXT,EQ,245060,245060,100.00
20,69,ALPA,EQ,7203,4907,68.12
20,70,ALPHAGEO,EQ,11309,8069,71.35
20,71,AMARAJABAT,EQ,1464321,310057,21.17
20,72,AMBER,EQ,63562,41538,65.35
20,73,AMBIKCO,EQ,1525,1108,72.66
20,74,AMBUJACEM,EQ,2692917,696095,25.85
20,75,AMDIND,EQ,2288,1757,76.79
20,76,AMJLAND,EQ,6401,4479,69.97
20,77,AMRUTANJAN,EQ,61796,19324,31.27
20,78,ANANTRAJ,EQ,277161,164286,59.27
20,79,ANDHRABANK,EQ,529972,317212,59.85
20,80,ANDHRSUGAR,EQ,19474,11904,61.13
20,81,ANSALAPI,EQ,60783,27106,44.59
20,82,ANUP,EQ,44857,42241,94.17
20,83,APARINDS,EQ,34699,32666,94.14
20,84,APCL,EQ,3643,2343,64.32
20,85,APCOTEXIND,EQ,7174,5101,71.10
20,86,APEX,EQ,123738,30722,24.83
20,87,APLAPOLLO,EQ,12899,8783,68.09
20,88,APLLTD,EQ,830358,756235,91.07
20,89,APOLLO,EQ,43906,19957,45.45
20,90,APOLLOHOSP,EQ,400326,159123,39.75
20,91,APOLLOPIPE,EQ,6248,3930,62.90
20,92,APOLLOTYRE,EQ,2687302,771293,28.70
20,93,APOLSINHOT,EQ,3783,2025,53.53
20,94,APTECHT,EQ,90224,27690,30.69
20,95,ARCHIDPLY,EQ,2274,1667,73.31
20,96,ARIES,EQ,21284,14098,66.24
20,97,ARIHANT,EQ,1557,1051,67.50
20,98,ARMANFIN,EQ,3596,1232,34.26
20,99,AROGRANITE,EQ,3496,2232,63.84
20,100,ARROWGREEN,EQ,8555,5907,69.05
20,101,ARROWTEX,EQ,9844,7166,72.80
