Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Ex-Dividend-Date, Divident
"ACC","1,478.00","1,518.00","1,451.75","1,516.80","42.90","2.91","1,857.45","1,255.65","-12.98",,"31-DEC-2999","-"
"ADANIENT","161.75","166.25","160.00","163.00","2.15","1.34","236.65","100.85","4.92",,"06-SEP-2018","SCHEME OF ARRANGEMENT"
"ADANIPORTS","334.00","347.85","330.00","346.20","14.20","4.28","452.35","294.10","-15.72",,"31-DEC-2999","-"
"ADANIPOWER","48.90","50.00","48.30","48.60","-0.70","-1.42","52.75","15.15","44.64",,"31-DEC-2999","-"
"AJANTPHARM","1,074.70","1,088.35","1,069.00","1,083.00","10.20","0.95","1,595.00","895.85","-12.50",,"09-NOV-2018","INTERIM DIVIDEND - RS 9 PER SH"
"ALBK","38.65","42.55","37.65","41.85","3.15","8.14","82.00","33.15","-45.54",,"31-DEC-2999","-"
"AMARAJABAT","738.35","742.85","731.80","738.50","2.35","0.32","908.45","704.05","-7.36",,"31-DEC-2999","-"
"AMBUJACEM","211.40","219.00","208.20","217.00","5.80","2.75","281.80","188.35","-20.03",,"31-DEC-2999","-"
"APOLLOHOSP","1,201.90","1,287.00","1,180.10","1,250.65","82.60","7.07","1,287.00","910.10","26.85",,"12-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 5 PER SHARE"
"APOLLOTYRE","223.75","231.20","219.15","229.60","6.25","2.80","307.25","192.05","-0.84",,"31-DEC-2999","-"
"ARVIND","312.20","319.10","309.00","310.00","-2.45","-0.78","478.50","289.05","-26.26",,"21-AUG-2018","ANNUAL GENERAL MEETING/DIVIDEND RS - 2.40/ per share"
"ASHOKLEY","107.50","108.05","105.50","106.25","-0.25","-0.23","167.50","101.65","-6.76",,"31-DEC-2999","-"
"ASIANPAINT","1,320.00","1,331.85","1,313.40","1,315.95","-4.60","-0.35","1,490.60","1,090.10","13.93",,"29-OCT-2018","INTERIM DIVIDEND - RS 2.85 PER SH"
"AUROPHARMA","782.00","792.40","776.60","778.00","-5.10","-0.65","827.45","527.00","10.90",,"31-DEC-2999","-"
"AXISBANK","613.25","632.50","610.75","623.95","11.25","1.84","677.95","481.25","14.35",,"31-DEC-2999","-"
"BAJAJ-AUTO","2,681.00","2,699.00","2,661.10","2,663.55","-12.95","-0.48","3,468.35","2,420.00","-18.46",,"31-DEC-2999","-"
"BAJAJFINSV","5,578.90","5,685.00","5,578.90","5,609.00","31.35","0.56","7,200.00","4,500.00","11.86",,"31-DEC-2999","-"
