Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1542.00,1542.00,1495.85,1507.00,-39.85,-2.58,1769.05,1255.65,8.44,-5.35,31-DEC-2999,-
ADANIENT,143.25,146.25,137.55,139.10,-8.20,-5.57,236.65,102.75,31.35,-9.17,31-DEC-2999,-
ADANIPORTS,401.00,404.45,395.95,397.55,-4.90,-1.22,430.60,292.10,9.85,-6.74,20-JUN-2019,BUYBACK
ADANIPOWER,62.50,63.85,61.45,62.15,-1.50,-2.36,66.90,15.35,299.68,28.94,31-DEC-2999,-
AMARAJABAT,633.35,640.80,632.00,636.15,-8.25,-1.28,908.45,572.85,-17.75,0.43,31-DEC-2999,-
AMBUJACEM,209.85,209.85,203.80,206.60,-3.60,-1.71,245.40,188.35,-0.41,-6.83,31-DEC-2999,-
APOLLOHOSP,1296.10,1324.55,1290.55,1297.95,-8.70,-0.67,1406.00,910.10,23.83,-3.29,31-DEC-2999,-
APOLLOTYRE,193.00,195.30,186.60,188.35,-6.95,-3.56,299.50,174.00,-25.27,-5.59,31-DEC-2999,-
ARVIND,65.70,66.30,61.85,63.10,-3.20,-4.83,438.70,56.55,-83.78,-14.15,31-DEC-2999,-
ASHOKLEY,86.00,86.20,83.70,85.50,-1.55,-1.78,137.10,77.60,-31.60,-6.35,31-DEC-2999,-
ASIANPAINT,1358.00,1358.40,1332.70,1341.00,-17.70,-1.30,1529.85,1118.00,1.48,-6.13,13-JUN-2019,DIVIDEND RS -7.65 PER SHARE
AUROPHARMA,593.00,599.75,581.75,586.00,-11.20,-1.88,838.00,565.05,-4.87,-6.17,31-DEC-2999,-
AXISBANK,802.00,803.65,778.65,784.45,-21.65,-2.69,827.75,509.00,53.51,-2.88,04-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE
BAJAJ-AUTO,2827.55,2827.55,2746.60,2776.15,-66.40,-2.34,3194.95,2420.00,-6.43,-7.20,31-DEC-2999,-
BAJAJFINSV,8499.90,8499.90,7463.05,7581.90,-853.45,-10.12,8580.00,4955.00,24.93,-6.69,31-DEC-2999,-
BAJFINANCE,3724.95,3724.95,3375.00,3430.00,-289.15,-7.77,3762.00,1912.20,47.20,-0.66,31-DEC-2999,-
BALKRISIND,736.00,737.95,708.90,718.95,-18.00,-2.44,1453.55,708.90,-37.45,-7.23,04-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 2 PER SHARE
BANKBARODA,130.20,130.90,123.10,124.60,-5.85,-4.48,157.50,91.00,10.02,0.20,18-JUN-2019,ANNUAL GENERAL MEETING
BANKINDIA,93.60,93.60,81.60,84.20,-9.75,-10.38,110.15,73.20,-1.41,-7.17,20-JUN-2019,ANNUAL GENERAL MEETING
BATAINDIA,1444.70,1444.70,1407.05,1430.00,-19.00,-1.31,1479.95,813.10,71.19,2.83,31-DEC-2999,-
BEL,108.10,109.75,100.75,101.25,-7.15,-6.60,124.40,72.50,-0.98,-5.24,31-DEC-2999,-
BERGEPAINT,313.40,313.40,302.25,305.50,-8.00,-2.55,349.90,260.00,5.29,-7.34,31-DEC-2999,-
BHARATFORG,454.80,460.75,444.05,449.00,-9.10,-1.99,693.90,430.15,-27.02,-2.47,31-DEC-2999,-
BHARTIARTL,362.00,364.40,354.45,355.05,-9.75,-2.67,371.15,253.99,-2.30,0.35,23-APR-2019,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE
BHEL,69.50,70.35,66.60,67.15,-3.00,-4.28,83.30,56.20,-0.96,-2.04,31-DEC-2999,-
BIOCON,230.00,243.45,230.00,241.00,0.90,0.37,359.00,230.00,-61.60,-55.74,31-DEC-2999,-
BOSCHLTD,16400.00,16497.60,15901.00,15935.00,-563.30,-3.41,22400.00,15901.00,-11.88,-7.72,31-DEC-2999,-
BPCL,366.85,367.60,356.15,362.00,-8.05,-2.18,421.70,238.55,-2.57,-8.83,31-DEC-2999,-
BRITANNIA,2829.90,2834.95,2771.05,2785.00,-39.85,-1.41,3467.18,2615.85,-55.84,-4.01,31-DEC-2999,-
BSOFT,88.95,88.95,81.90,82.60,-6.30,-7.09,314.50,80.15,-,-,31-DEC-2999,-
CADILAHC,228.60,230.10,223.45,224.45,-4.25,-1.86,432.50,223.15,-42.05,-8.65,31-DEC-2999,-
CANBK,289.65,291.00,266.75,267.65,-23.50,-8.07,302.30,204.75,9.78,2.25,31-DEC-2999,-
CASTROLIND,128.50,128.75,124.50,125.90,-3.05,-2.37,177.80,124.50,-21.61,-13.41,09-MAY-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.75 PER SHARE
CENTURYTEX,925.10,926.00,895.00,900.60,-31.05,-3.33,1063.00,705.50,3.40,-9.60,31-DEC-2999,-
CESC,767.40,775.30,760.10,772.00,4.00,0.52,1038.85,642.00,-15.20,1.35,31-DEC-2999,-
CHOLAFIN,288.10,288.10,274.70,277.35,-11.25,-3.90,323.80,207.60,-81.41,-81.10,31-DEC-2999,-
CIPLA,547.00,549.00,534.65,539.50,-10.50,-1.91,678.45,483.75,-13.89,-3.63,31-DEC-2999,-
COALINDIA,241.40,241.45,230.45,232.50,-9.40,-3.89,299.75,211.40,-13.98,-13.62,31-DEC-2999,-
COLPAL,1178.20,1185.85,1160.00,1172.55,-5.65,-0.48,1354.80,1018.30,2.01,1.10,31-DEC-2999,-
CONCOR,571.90,571.90,551.00,554.15,-21.55,-3.74,582.75,433.60,-12.81,5.68,31-DEC-2999,-
CUMMINSIND,731.40,764.00,720.00,762.00,25.35,3.44,884.20,613.20,16.14,-1.19,31-DEC-2999,-
DABUR,405.20,408.95,399.75,401.65,-5.65,-1.39,490.65,357.55,6.60,-0.32,31-DEC-2999,-
DHFL,81.00,83.10,76.80,77.75,-2.45,-3.05,691.50,59.75,-87.55,-17.24,31-DEC-2999,-
DISHTV,30.00,30.20,27.40,28.95,-1.40,-4.61,74.65,19.10,-59.96,5.08,31-DEC-2999,-
DIVISLAB,1600.10,1604.25,1564.50,1577.90,-32.90,-2.04,1774.95,1040.00,46.44,-0.16,31-DEC-2999,-
DLF,185.40,187.20,177.50,182.55,-4.40,-2.35,223.50,142.00,0.75,-4.12,31-DEC-2999,-
DRREDDY,2585.10,2620.00,2559.00,2590.00,-10.95,-0.42,2964.00,1872.95,12.67,-2.53,31-DEC-2999,-
