Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume, IsFO
"APOLLOHOSP","3,683","1,691","1,992","117.80","16,990","0"
"BANKNIFTY","16,34,023","11,72,758","4,61,265","39.33","2,57,29,649","1"
"MOTHERSUMI","18,916","15,177","3,739","24.64","19,857","0"
"UJJIVAN","5,095","4,323","772","17.86","14,957","0"
"NBCC","6,385","5,453","932","17.09","7,467","0"
"ADANIENT","13,823","12,055","1,768","14.67","12,398","0"
"GRASIM","14,636","13,151","1,485","11.29","21,397","0"
"YESBANK","1,01,373","91,620","9,753","10.65","1,07,183","0"
"INDIGO","9,307","8,447","860","10.18","6,435","0"
"SIEMENS","3,917","3,559","358","10.06","5,462","0"
"JUSTDIAL","3,471","3,170","301","9.50","6,551","0"
"GODFRYPHLP","885","822","63","7.66","798","0"
"PCJEWELLER","19,488","18,116","1,372","7.57","38,802","0"
"SUNTV","11,501","10,700","801","7.49","8,704","0"
"ASHOKLEY","32,352","30,218","2,134","7.06","30,799","0"
"COLPAL","3,002","2,808","194","6.91","1,578","0"
"ARVIND","7,104","6,646","458","6.89","5,118","0"
"CANFINHOME","3,658","3,427","231","6.74","2,349","0"
"IDEA","24,611","23,188","1,423","6.14","21,689","0"
"REPCOHOME","684","645","39","6.05","1,424","0"
"SREINFRA","2,473","2,338","135","5.77","1,209","0"
"ICICIPRULI","3,608","3,414","194","5.68","1,520","0"
"AJANTPHARM","1,412","1,340","72","5.37","493","0"
"CANBK","8,786","8,356","430","5.15","11,711","0"
"SUNPHARMA","52,384","49,849","2,535","5.09","46,959","0"
"LICHSGFIN","13,110","12,541","569","4.54","11,163","0"
"GAIL","9,670","9,254","416","4.50","4,925","0"
"DLF","16,430","15,763","667","4.23","9,798","0"
"ADANIPORTS","8,529","8,201","328","4.00","8,728","0"
"KSCL","1,146","1,102","44","3.99","1,241","0"
"BEML","4,121","3,974","147","3.70","2,873","0"
"ITC","42,687","41,206","1,481","3.59","14,001","0"
"CADILAHC","6,335","6,118","217","3.55","1,983","0"
"IBULHSGFIN","47,969","46,350","1,619","3.49","31,073","0"
"PETRONET","4,973","4,811","162","3.37","1,212","0"
"GSFC","4,466","4,323","143","3.31","911","0"
"ASIANPAINT","11,045","10,694","351","3.28","5,021","0"
"DISHTV","7,993","7,745","248","3.20","1,996","0"
"PAGEIND","6,222","6,033","189","3.13","8,182","0"
"CUMMINSIND","2,391","2,321","70","3.02","1,619","0"
"HCC","1,861","1,808","53","2.93","642","0"
"RELCAPITAL","10,890","10,582","308","2.91","6,858","0"
"NCC","8,713","8,468","245","2.89","7,641","0"
"RELIANCE","1,40,085","1,36,281","3,804","2.79","65,237","0"
"HCLTECH","13,585","13,225","360","2.72","8,394","0"
"SYNDIBANK","3,358","3,272","86","2.63","1,242","0"
"DHFL","21,407","20,860","547","2.62","15,014","0"
"PIDILITIND","8,148","7,948","200","2.52","2,551","0"
"FEDERALBNK","11,208","10,933","275","2.52","4,883","0"
"L&TFH","8,988","8,773","215","2.45","4,600","0"
"INFRATEL","4,964","4,848","116","2.39","1,441","0"
"AMARAJABAT","2,271","2,219","52","2.34","980","0"
"MUTHOOTFIN","1,717","1,679","38","2.26","1,438","0"
"PFC","7,707","7,543","164","2.17","7,058","0"
"ICICIBANK","60,618","59,365","1,253","2.11","56,698","0"
"RCOM","4,629","4,535","94","2.07","598","0"
"BATAINDIA","5,317","5,218","99","1.90","3,115","0"
"TATACHEM","4,247","4,171","76","1.82","1,864","0"
"VEDL","31,341","30,818","523","1.70","19,376","0"
"HAVELLS","6,342","6,238","104","1.67","5,775","0"
"NIFTY","18,93,579","18,63,291","30,288","1.63","15,99,264","1"
"JPASSOCIAT","4,533","4,462","71","1.59","848","0"
"INDIANB","5,317","5,241","76","1.45","2,852","0"
"ZEEL","11,166","11,008","158","1.44","6,692","0"
"UNIONBANK","9,568","9,437","131","1.39","3,620","0"
"IRB","6,227","6,146","81","1.32","1,498","0"
"BANKBARODA","26,139","25,805","334","1.29","12,195","0"
"SBIN","54,004","53,341","663","1.24","32,587","0"
"NTPC","9,786","9,666","120","1.24","4,035","0"
