Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,6458,6426,32,0.50,5389
ADANIENT,14087,12808,1279,9.99,10007
ADANIPORTS,12494,12452,42,0.34,9706
ADANIPOWER,8026,7973,53,0.66,1669
AJANTPHARM,2232,2191,41,1.87,2452
ALBK,1938,1814,124,6.84,2308
AMARAJABAT,1903,1918,-15,-0.78,1253
AMBUJACEM,5081,4913,168,3.42,2222
APOLLOHOSP,1920,1869,51,2.73,855
APOLLOTYRE,4962,5091,-129,-2.53,6813
ARVIND,4858,3915,943,24.09,9685
ASHOKLEY,28029,28256,-227,-0.80,30085
ASIANPAINT,11793,11936,-143,-1.20,9405
AUROPHARMA,22531,21048,1483,7.05,14737
AXISBANK,49214,46608,2606,5.59,39720
BAJAJ-AUTO,12443,11753,690,5.87,15368
BAJAJFINSV,6419,6449,-30,-0.47,1871
BAJFINANCE,30855,30933,-78,-0.25,27466
BALKRISIND,3932,3829,103,2.69,1965
BANKBARODA,20260,19747,513,2.60,9222
BANKINDIA,5414,5554,-140,-2.52,4341
BANKNIFTY,1366241,991787,374454,37.76,28560891
BATAINDIA,5464,5392,72,1.34,3868
BEL,6716,6544,172,2.63,1452
BEML,2941,2932,9,0.31,3801
BERGEPAINT,2617,2554,63,2.47,683
BHARATFIN,10240,9963,277,2.78,1468
BHARATFORG,12169,12157,12,0.10,2781
BHARTIARTL,24499,24478,21,0.09,8072
BHEL,9812,10091,-279,-2.76,4306
BIOCON,7727,7646,81,1.06,5541
BOSCHLTD,5183,5233,-50,-0.96,281
BPCL,4095,4150,-55,-1.33,2361
BRITANNIA,17672,17198,474,2.76,5165
CADILAHC,7202,5546,1656,29.86,12038
CANBK,7358,7167,191,2.66,8021
CANFINHOME,2759,2585,174,6.73,1513
CAPF,8,8,0,0.00,0
CASTROLIND,2237,2188,49,2.24,567
CEATLTD,3572,3631,-59,-1.62,3813
CENTURYTEX,8959,8674,285,3.29,2981
CESC,3374,3080,294,9.55,2955
CGPOWER,4210,4121,89,2.16,2113
CHENNPETRO,849,780,69,8.85,3221
CHOLAFIN,1808,1777,31,1.74,1230
CIPLA,16360,16800,-440,-2.62,21419
COALINDIA,12239,12104,135,1.12,6572
COLPAL,2484,2322,162,6.98,693
CONCOR,1732,1742,-10,-0.57,354
CUMMINSIND,2547,2209,338,15.30,3733
DABUR,12351,12523,-172,-1.37,5539
DCBBANK,889,871,18,2.07,618
DHFL,22825,23751,-926,-3.90,4327
DISHTV,9770,9883,-113,-1.14,5898
DIVISLAB,10737,10461,276,2.64,4206
DLF,13838,13776,62,0.45,10570
DRREDDY,20256,20420,-164,-0.80,6651
EICHERMOT,17714,16962,752,4.43,11157
ENGINERSIN,2041,2044,-3,-0.15,410
EQUITAS,3696,3691,5,0.14,996
ESCORTS,5354,5404,-50,-0.93,3584
EXIDEIND,6710,6397,313,4.89,3343
FEDERALBNK,7811,7893,-82,-1.04,3101
GAIL,4900,4801,99,2.06,2282
GLENMARK,4059,4005,54,1.35,842
GMRINFRA,4992,4974,18,0.36,1328
GODFRYPHLP,715,729,-14,-1.92,1154
GODREJCP,10310,10011,299,2.99,1795
GODREJIND,1098,1090,8,0.73,353
GRASIM,17454,16210,1244,7.67,14402
GSFC,3131,3160,-29,-0.92,586
HAVELLS,6847,6892,-45,-0.65,5234
HCLTECH,15396,15306,90,0.59,5106
HDFC,59759,59920,-161,-0.27,16672
HDFCBANK,54681,53859,822,1.53,28887
HEROMOTOCO,16274,16405,-131,-0.80,14128
HEXAWARE,3174,3177,-3,-0.09,1321
HINDALCO,12544,12451,93,0.75,6800
HINDPETRO,10309,10165,144,1.42,4613
HINDUNILVR,19591,19406,185,0.95,6819
HINDZINC,2103,2107,-4,-0.19,575
IBULHSGFIN,37861,38443,-582,-1.51,26256
ICICIBANK,47592,46769,823,1.76,28901
ICICIPRULI,4641,5156,-515,-9.99,6659
IDBI,3589,3723,-134,-3.60,358
IDEA,16445,15071,1374,9.12,16277
IDFC,8762,8737,25,0.29,2004
IDFCBANK,1825,1825,0,0.00,0
IDFCFIRSTB,14125,14390,-265,-1.84,5231
IFCI,1709,1684,25,1.48,144
IGL,2416,2134,282,13.21,5668
INDIACEM,5963,6140,-177,-2.88,3480
INDIANB,2109,2064,45,2.18,2113
INDIGO,4719,4763,-44,-0.92,3699
INDUSINDBK,30803,29632,1171,3.95,13101
INFIBEAM,4482,4250,232,5.46,1198
INFRATEL,4802,4570,232,5.08,3314
INFY,42713,42257,456,1.08,15723
IOC,10137,10013,124,1.24,1821
IRB,3214,3194,20,0.63,2932
ITC,39414,39450,-36,-0.09,11423
JETAIRWAYS,6183,6319,-136,-2.15,878
JINDALSTEL,14937,15035,-98,-0.65,10281
JISLJALEQS,5915,6058,-143,-2.36,2283
JPASSOCIAT,2184,2193,-9,-0.41,265
JSWSTEEL,39177,37974,1203,3.17,14643
JUBLFOOD,12259,12434,-175,-1.41,23722
